repo,url,description,category,priority,why,stars,forks,openIssues,language,license,licenseReviewRequired,createdAt,updatedAt,pushedAt,defaultBranch,archived,fork,starThreshold,meetsStarThreshold,strategicException
openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,A coding agent for open models like Kimi K3,rust-runtime,benchmark,Local open-model coding and computer-use agent.,66279,5698,274,Rust,Apache-2.0,False,2023-07-14T07:10:44Z,2026-07-17T19:32:54Z,2026-07-17T19:27:53Z,main,False,False,10000,True,False
Kilo-Org/kilocode,https://github.com/Kilo-Org/kilocode,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.",coding-agent,watch,Multi-surface agentic engineering platform.,26332,2930,718,TypeScript,MIT,False,2025-03-10T15:34:26Z,2026-07-17T18:38:09Z,2026-07-17T19:19:11Z,main,False,False,10000,True,False
QwenLM/qwen-code,https://github.com/QwenLM/qwen-code,An open-source AI coding agent that lives in your terminal.,coding-agent,evaluate,Open terminal coding agent and model-diversity lane.,26084,2666,695,TypeScript,Apache-2.0,False,2025-06-26T01:37:46Z,2026-07-17T16:56:54Z,2026-07-17T19:04:02Z,main,False,False,10000,True,False
charmbracelet/crush,https://github.com/charmbracelet/crush,Glamourous agentic coding for all 💘,coding-agent,watch,Go terminal coding agent with strong local UX.,26592,2025,574,Go,NOASSERTION,True,2025-05-21T12:14:57Z,2026-07-17T19:07:06Z,2026-07-17T19:23:58Z,main,False,False,10000,True,False
plandex-ai/plandex,https://github.com/plandex-ai/plandex,Open source AI coding agent. Designed for large projects and real world tasks.,coding-agent,watch,Large-project coding agent and planning benchmark.,15532,1164,59,Go,MIT,False,2023-10-24T22:11:43Z,2026-07-17T17:53:54Z,2025-10-03T21:49:58Z,main,False,False,10000,True,False
bytedance/trae-agent,https://github.com/bytedance/trae-agent,Trae Agent is an LLM-based agent for general purpose software engineering tasks.,coding-agent,watch,General software-engineering agent.,11856,1306,143,Python,MIT,False,2025-06-13T12:05:15Z,2026-07-17T17:55:36Z,2026-02-05T11:21:00Z,main,False,False,10000,True,False
BloopAI/vibe-kanban,https://github.com/BloopAI/vibe-kanban,"Get 10X more out of Claude Code, Codex or any coding agent",rust-runtime,pilot,Rust coding-agent fleet board; narrower and lighter than Paperclip.,27420,2910,534,Rust,Apache-2.0,False,2025-06-14T19:10:21Z,2026-07-17T18:09:32Z,2026-04-24T09:17:34Z,main,False,False,10000,True,False
superset-sh/superset,https://github.com/superset-sh/superset,"Code Editor for the AI Agents Era - Run an army of Claude Code, Codex, etc. on your machine",coding-control-plane,evaluate,Desktop code editor for parallel coding-agent armies.,12475,1089,351,TypeScript,NOASSERTION,True,2025-10-21T09:16:51Z,2026-07-17T16:55:00Z,2026-07-17T19:29:07Z,main,False,False,10000,True,False
gastownhall/gastown,https://github.com/gastownhall/gastown,Gas Town - multi-agent workspace manager,coding-control-plane,evaluate,Go multi-agent workspace manager.,17077,1572,267,Go,MIT,False,2025-12-16T00:33:33Z,2026-07-17T18:53:17Z,2026-07-17T16:40:09Z,main,False,False,10000,True,False
openai/symphony,https://github.com/openai/symphony,"Symphony turns project work into isolated, autonomous implementation runs, allowing teams to manage work instead of supervising coding agents.",coding-control-plane,evaluate,Isolated autonomous implementation runs driven by project work.,26010,2626,8,Elixir,Apache-2.0,False,2026-02-26T21:54:00Z,2026-07-17T19:15:57Z,2026-06-09T23:25:36Z,main,False,False,10000,True,False
stablyai/orca,https://github.com/stablyai/orca,Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop and mobile.,coding-control-plane,evaluate,Agent development environment for fleets across desktop and mobile.,21068,1523,1636,TypeScript,MIT,False,2026-03-17T03:28:57Z,2026-07-17T19:29:15Z,2026-07-17T19:06:00Z,main,False,False,10000,True,False
getpaseo/paseo,https://github.com/getpaseo/paseo,Orchestrate multiple coding agents from desktop and mobile,coding-control-plane,watch,Multi-coding-agent orchestration across desktop and mobile.,10585,1034,738,TypeScript,NOASSERTION,True,2025-10-13T12:27:02Z,2026-07-17T19:09:01Z,2026-07-17T19:07:45Z,main,False,False,10000,True,False
humanlayer/humanlayer,https://github.com/humanlayer/humanlayer,The best way to get AI coding agents to solve hard problems in complex codebases.,coding-control-plane,evaluate,Human-in-the-loop workflows for hard coding-agent tasks.,11123,927,40,TypeScript,NOASSERTION,True,2024-08-05T21:26:44Z,2026-07-17T16:17:22Z,2026-06-19T03:27:53Z,main,False,False,10000,True,False
code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode",coding-control-plane,evaluate,"High-signal meta-harness for complex codebases on Codex and OpenCode; absorb hooks, planning, and verified-completion patterns without replacing Hermes Queen.",67632,5520,682,TypeScript,NOASSERTION,True,2025-12-03T01:40:05Z,2026-08-10T20:01:53Z,2026-08-10T15:30:06Z,dev,False,False,10000,True,False
can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,"⌥  AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more",coding-agent,evaluate,"Terminal coding harness with hash-anchored edits, LSP, subagents and browser; useful architecture benchmark for edit safety.",23575,2234,1269,TypeScript,MIT,False,2025-12-31T14:01:28Z,2026-08-10T20:09:37Z,2026-08-10T18:11:23Z,main,False,False,10000,True,False
earendil-works/pi,https://github.com/earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",coding-agent,evaluate,Unified LLM API + agent loop + TUI coding CLI toolkit; source lineage for several modern terminal harnesses.,86599,10762,116,TypeScript,MIT,False,2025-08-09T14:03:50Z,2026-08-10T20:04:38Z,2026-08-10T19:46:43Z,main,False,False,10000,True,False
langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,An Open-Source Asynchronous Coding Agent,coding-agent,watch,Asynchronous coding-agent architecture reference.,10323,1172,23,Python,MIT,False,2025-05-21T21:44:24Z,2026-07-17T18:40:45Z,2026-07-17T18:48:40Z,main,False,False,10000,True,False
farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",rust-runtime,evaluate,Rust desktop switchboard across Hermes and major coding agents.,118326,7924,1972,Rust,MIT,False,2025-08-04T14:16:16Z,2026-07-17T19:26:36Z,2026-07-17T13:52:03Z,main,False,False,10000,True,False
Hmbown/CodeWhale,https://github.com/Hmbown/CodeWhale,"Open-source, community-driven agent harness",rust-runtime,watch,Community Rust agent harness.,39894,3440,297,Rust,MIT,False,2026-01-19T18:21:01Z,2026-07-17T19:31:04Z,2026-07-17T19:22:09Z,main,False,False,10000,True,False
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,coding-agent,evaluate,End-to-end software-development agent with sandboxed execution and operator UI.,81106,10371,367,Python,NOASSERTION,True,2024-03-13T03:33:31Z,2026-07-17T19:31:09Z,2026-07-17T19:33:45Z,main,False,False,10000,True,False
Aider-AI/aider,https://github.com/Aider-AI/aider,aider is AI pair programming in your terminal,coding-agent,evaluate,Mature terminal pair-programming agent with strong Git integration.,47462,4741,1749,Python,Apache-2.0,False,2023-05-09T18:57:49Z,2026-07-17T18:45:09Z,2026-05-22T14:02:20Z,main,False,False,10000,True,False
TabbyML/tabby,https://github.com/TabbyML/tabby,Self-hosted AI coding assistant,rust-runtime,evaluate,Rust self-hosted coding-assistant platform for local and enterprise evaluation.,33721,1773,328,Rust,NOASSERTION,True,2023-03-16T09:18:01Z,2026-07-17T18:42:30Z,2026-06-30T20:38:02Z,main,False,False,10000,True,False
SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024]",coding-agent,benchmark,Issue-to-patch research agent and SWE-bench architecture reference.,19839,2167,38,Python,MIT,False,2024-04-02T04:09:47Z,2026-07-17T17:03:01Z,2026-07-16T17:53:38Z,main,False,False,10000,True,False
langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform.,agent-framework,benchmark,Broad agent engineering ecosystem and integrations.,142003,23609,435,Python,MIT,False,2022-10-17T02:58:36Z,2026-07-17T19:11:33Z,2026-07-17T15:35:38Z,master,False,False,10000,True,False
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient agents.,agent-framework,evaluate,Durable graph/state-machine execution for agents.,37515,6289,624,Python,MIT,False,2023-08-09T18:33:12Z,2026-07-17T18:30:32Z,2026-07-17T18:13:00Z,main,False,False,10000,True,False
run-llama/llama_index,https://github.com/run-llama/llama_index,LlamaIndex is the leading document agent and OCR platform,agent-framework,evaluate,"Document agents, indexing and context engineering.",50913,7767,556,Python,MIT,False,2022-11-02T04:24:54Z,2026-07-17T18:11:27Z,2026-07-16T05:24:11Z,main,False,False,10000,True,False
microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI,agent-framework,benchmark,Multi-agent framework and research reference.,59796,8999,961,Python,CC-BY-4.0,False,2023-08-18T11:43:45Z,2026-07-17T18:16:41Z,2026-04-15T11:59:09Z,main,False,False,10000,True,False
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",agent-framework,benchmark,Role-oriented multi-agent orchestration.,55695,7861,652,Python,MIT,False,2023-10-27T03:26:59Z,2026-07-17T19:15:27Z,2026-07-17T14:33:29Z,main,False,False,10000,True,False
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",agent-framework,benchmark,Software-company multi-agent pattern reference.,69413,8850,138,Python,MIT,False,2023-06-30T09:04:55Z,2026-07-17T16:19:23Z,2026-01-21T10:12:33Z,main,False,False,10000,True,False
agno-agi/agno,https://github.com/agno-agi/agno,"Build, run, and manage agent platforms.",agent-framework,evaluate,"Build, run and manage agent platforms.",41208,5646,984,Python,Apache-2.0,False,2022-05-04T15:23:02Z,2026-07-17T18:35:52Z,2026-07-17T19:11:46Z,main,False,False,10000,True,False
openai/openai-agents-python,https://github.com/openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows",agent-framework,evaluate,Lightweight multi-agent and handoff framework.,27975,4344,59,Python,MIT,False,2025-03-11T03:42:36Z,2026-07-17T17:39:41Z,2026-07-17T13:00:56Z,main,False,False,10000,True,False
google/adk-python,https://github.com/google/adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",agent-framework,evaluate,"Code-first build, evaluate and deploy toolkit.",20645,3708,643,Python,Apache-2.0,False,2025-04-01T20:44:40Z,2026-07-17T19:25:41Z,2026-07-17T19:25:19Z,main,False,False,10000,True,False
pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,"AI Agent Framework, the Pydantic way",agent-framework,evaluate,Typed Python agent framework with strong schema discipline.,18624,2380,491,Python,MIT,False,2024-06-21T15:55:04Z,2026-07-17T18:49:21Z,2026-07-17T18:55:24Z,main,False,False,10000,True,False
mastra-ai/mastra,https://github.com/mastra-ai/mastra,Mastra is the modern TypeScript framework for AI-powered applications and agents.,agent-framework,evaluate,Modern TypeScript agent application framework.,26294,2452,401,TypeScript,NOASSERTION,True,2024-08-06T20:44:31Z,2026-07-17T19:03:29Z,2026-07-17T19:32:49Z,main,False,False,10000,True,False
deepset-ai/haystack,https://github.com/deepset-ai/haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",agent-framework,evaluate,Explicit production pipelines and agent workflows.,25925,2929,109,MDX,Apache-2.0,False,2019-11-14T09:05:28Z,2026-07-17T16:20:07Z,2026-07-17T15:51:49Z,main,False,False,10000,True,False
camel-ai/camel,https://github.com/camel-ai/camel,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,agent-framework,benchmark,Research-heavy multi-agent framework.,17414,2004,467,Python,Apache-2.0,False,2023-03-17T21:41:54Z,2026-07-17T13:34:07Z,2026-07-17T10:33:42Z,master,False,False,10000,True,False
agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,"Build and run agents you can see, understand and trust.",agent-framework,evaluate,Observable and trustworthy agent framework.,27981,3217,286,Python,Apache-2.0,False,2024-01-12T03:41:59Z,2026-07-17T19:05:36Z,2026-07-17T08:56:03Z,main,False,False,10000,True,False
microsoft/agent-framework,https://github.com/microsoft/agent-framework,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",agent-framework,watch,Microsoft Python/.NET agent framework successor surface.,12184,2047,644,Python,MIT,False,2025-04-28T19:40:42Z,2026-07-17T17:54:51Z,2026-07-17T17:25:42Z,main,False,False,10000,True,False
langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,The batteries-included agent harness.,agent-framework,evaluate,Batteries-included long-horizon agent harness.,26375,3700,167,Python,MIT,False,2025-07-27T23:07:53Z,2026-07-17T19:28:25Z,2026-07-17T19:32:51Z,main,False,False,10000,True,False
microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,agent-framework,evaluate,Enterprise multi-language agent and plugin framework.,28323,4680,255,C#,MIT,False,2023-02-27T17:39:42Z,2026-07-17T17:43:43Z,2026-07-16T20:33:31Z,main,False,False,10000,True,False
The-Pocket/PocketFlow,https://github.com/The-Pocket/PocketFlow,Pocket Flow: 100-line LLM framework. Let Agents build Agents!,agent-framework,watch,Minimal framework useful as a complexity baseline.,10988,1194,71,Python,MIT,False,2024-12-24T02:43:30Z,2026-07-17T16:41:38Z,2026-03-27T18:48:41Z,main,False,False,10000,True,False
openai/swarm,https://github.com/openai/swarm,"Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team.",agent-framework,reference,Educational handoff/orchestration patterns; not a production foundation.,21805,2326,40,Python,MIT,False,2024-02-22T20:53:54Z,2026-07-17T17:10:01Z,2026-04-15T17:10:28Z,main,False,False,10000,True,False
567-labs/instructor,https://github.com/567-labs/instructor,structured outputs for llms,structured-output,adopt-adjacent,Typed structured outputs across model providers.,13552,1155,68,Python,MIT,False,2023-06-14T10:42:23Z,2026-07-17T18:14:12Z,2026-07-13T06:07:46Z,main,False,False,10000,True,False
dottxt-ai/outlines,https://github.com/dottxt-ai/outlines,Structured Outputs,structured-output,evaluate,Constrained generation and structured-output primitives.,14532,780,126,Python,Apache-2.0,False,2023-03-17T16:01:18Z,2026-07-17T18:28:24Z,2026-07-17T05:47:28Z,main,False,False,10000,True,False
n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",workflow-automation,adopt-adjacent,Human-readable business automation and integration fabric; fair-code licensing caveat.,196830,59407,1375,TypeScript,NOASSERTION,True,2019-06-22T09:24:21Z,2026-07-17T19:31:50Z,2026-07-17T19:28:45Z,master,False,False,10000,True,False
activepieces/activepieces,https://github.com/activepieces/activepieces,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,workflow-automation,evaluate,Open workflow automation with agents and MCPs.,23309,3924,454,TypeScript,NOASSERTION,True,2022-12-03T02:52:46Z,2026-07-17T18:47:51Z,2026-07-17T18:43:56Z,main,False,False,10000,True,False
triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,Trigger.dev – build and deploy fully‑managed AI agents and workflows,durable-execution,evaluate,Long-running TypeScript agent jobs and workflows.,15677,1359,390,TypeScript,Apache-2.0,False,2022-11-30T14:59:07Z,2026-07-17T15:54:48Z,2026-07-17T15:56:58Z,main,False,False,10000,True,False
conductor-oss/conductor,https://github.com/conductor-oss/conductor,Conductor is an event driven agentic workflow engine providing durable and highly resilient execution engine for applications and AI Agents,durable-execution,evaluate,Durable event-driven workflow engine for agentic work.,32007,961,243,Java,Apache-2.0,False,2023-12-08T06:06:09Z,2026-07-17T19:27:14Z,2026-07-17T19:27:46Z,main,False,False,10000,True,False
temporalio/temporal,https://github.com/temporalio/temporal,Temporal service,durable-execution,evaluate,Battle-tested durable execution substrate.,21695,1740,808,Go,MIT,False,2019-10-16T22:15:35Z,2026-07-17T18:37:04Z,2026-07-17T19:04:42Z,main,False,False,10000,True,False
windmill-labs/windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",durable-execution,evaluate,"Rust-backed scripts, workflows and internal tools.",17178,1033,793,Rust,NOASSERTION,True,2022-05-05T02:21:17Z,2026-07-17T19:26:45Z,2026-07-17T19:30:57Z,main,False,False,10000,True,False
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,durable-execution,watch,Python workflow orchestration with strong observability.,23417,2414,813,Python,Apache-2.0,False,2018-06-29T21:59:26Z,2026-07-17T19:33:01Z,2026-07-17T16:09:20Z,main,False,False,10000,True,False
dagster-io/dagster,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.",durable-execution,watch,Asset-aware data and automation orchestration.,15856,2200,2582,Python,Apache-2.0,False,2018-04-30T16:30:04Z,2026-07-17T19:27:03Z,2026-07-17T19:26:42Z,master,False,False,10000,True,False
huginn/huginn,https://github.com/huginn/huginn,Create agents that monitor and act on your behalf.  Your agents are standing by!,workflow-automation,reference,Long-lived monitor-and-act agent pattern.,49631,4277,697,Ruby,MIT,False,2013-03-10T06:00:31Z,2026-07-17T17:17:51Z,2026-07-16T19:38:13Z,master,False,False,10000,True,False
automatisch/automatisch,https://github.com/automatisch/automatisch,The open source Zapier alternative. Build workflow automation without spending time and money.,workflow-automation,watch,Open-source Zapier alternative.,13887,1056,283,JavaScript,NOASSERTION,True,2021-09-30T20:28:16Z,2026-07-17T16:20:50Z,2026-02-11T19:53:04Z,main,False,False,10000,True,False
langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,agent-builder,evaluate,Production agentic workflow and application platform.,149167,23502,1073,TypeScript,NOASSERTION,True,2023-04-12T07:40:24Z,2026-07-17T19:24:43Z,2026-07-17T14:59:12Z,main,False,False,10000,True,False
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,"Build AI Agents, Visually",agent-builder,evaluate,Visual agent builder.,54695,24725,1004,TypeScript,NOASSERTION,True,2023-03-31T12:23:09Z,2026-07-17T18:11:50Z,2026-07-17T09:12:26Z,main,False,False,10000,True,False
