id,type,label,description,url,stars,language,license,priority
project:stablyai/orca,project,stablyai/orca,,https://github.com/stablyai/orca,21068,TypeScript,MIT,evaluate
project:getpaseo/paseo,project,getpaseo/paseo,,https://github.com/getpaseo/paseo,10585,TypeScript,NOASSERTION,watch
project:humanlayer/humanlayer,project,humanlayer/humanlayer,,https://github.com/humanlayer/humanlayer,11123,TypeScript,NOASSERTION,evaluate
project:code-yeongyu/oh-my-openagent,project,code-yeongyu/oh-my-openagent,,https://github.com/code-yeongyu/oh-my-openagent,67632,TypeScript,NOASSERTION,evaluate
project:can1357/oh-my-pi,project,can1357/oh-my-pi,,https://github.com/can1357/oh-my-pi,23575,TypeScript,MIT,evaluate
project:earendil-works/pi,project,earendil-works/pi,,https://github.com/earendil-works/pi,86599,TypeScript,MIT,evaluate
project:langchain-ai/open-swe,project,langchain-ai/open-swe,,https://github.com/langchain-ai/open-swe,10323,Python,MIT,watch
project:farion1231/cc-switch,project,farion1231/cc-switch,,https://github.com/farion1231/cc-switch,118326,Rust,MIT,evaluate
project:Hmbown/CodeWhale,project,Hmbown/CodeWhale,,https://github.com/Hmbown/CodeWhale,39894,Rust,MIT,watch
project:OpenHands/OpenHands,project,OpenHands/OpenHands,,https://github.com/OpenHands/OpenHands,81106,Python,NOASSERTION,evaluate
project:Aider-AI/aider,project,Aider-AI/aider,,https://github.com/Aider-AI/aider,47462,Python,Apache-2.0,evaluate
project:TabbyML/tabby,project,TabbyML/tabby,,https://github.com/TabbyML/tabby,33721,Rust,NOASSERTION,evaluate
project:SWE-agent/SWE-agent,project,SWE-agent/SWE-agent,,https://github.com/SWE-agent/SWE-agent,19839,Python,MIT,benchmark
project:langchain-ai/langchain,project,langchain-ai/langchain,,https://github.com/langchain-ai/langchain,142003,Python,MIT,benchmark
project:langchain-ai/langgraph,project,langchain-ai/langgraph,,https://github.com/langchain-ai/langgraph,37515,Python,MIT,evaluate
project:run-llama/llama_index,project,run-llama/llama_index,,https://github.com/run-llama/llama_index,50913,Python,MIT,evaluate
project:microsoft/autogen,project,microsoft/autogen,,https://github.com/microsoft/autogen,59796,Python,CC-BY-4.0,benchmark
project:crewAIInc/crewAI,project,crewAIInc/crewAI,,https://github.com/crewAIInc/crewAI,55695,Python,MIT,benchmark
project:FoundationAgents/MetaGPT,project,FoundationAgents/MetaGPT,,https://github.com/FoundationAgents/MetaGPT,69413,Python,MIT,benchmark
project:agno-agi/agno,project,agno-agi/agno,,https://github.com/agno-agi/agno,41208,Python,Apache-2.0,evaluate
project:openai/openai-agents-python,project,openai/openai-agents-python,,https://github.com/openai/openai-agents-python,27975,Python,MIT,evaluate
project:google/adk-python,project,google/adk-python,,https://github.com/google/adk-python,20645,Python,Apache-2.0,evaluate
project:pydantic/pydantic-ai,project,pydantic/pydantic-ai,,https://github.com/pydantic/pydantic-ai,18624,Python,MIT,evaluate
project:mastra-ai/mastra,project,mastra-ai/mastra,,https://github.com/mastra-ai/mastra,26294,TypeScript,NOASSERTION,evaluate
project:deepset-ai/haystack,project,deepset-ai/haystack,,https://github.com/deepset-ai/haystack,25925,MDX,Apache-2.0,evaluate
project:camel-ai/camel,project,camel-ai/camel,,https://github.com/camel-ai/camel,17414,Python,Apache-2.0,benchmark
project:agentscope-ai/agentscope,project,agentscope-ai/agentscope,,https://github.com/agentscope-ai/agentscope,27981,Python,Apache-2.0,evaluate
project:microsoft/agent-framework,project,microsoft/agent-framework,,https://github.com/microsoft/agent-framework,12184,Python,MIT,watch
project:langchain-ai/deepagents,project,langchain-ai/deepagents,,https://github.com/langchain-ai/deepagents,26375,Python,MIT,evaluate
project:microsoft/semantic-kernel,project,microsoft/semantic-kernel,,https://github.com/microsoft/semantic-kernel,28323,C#,MIT,evaluate
project:The-Pocket/PocketFlow,project,The-Pocket/PocketFlow,,https://github.com/The-Pocket/PocketFlow,10988,Python,MIT,watch
project:openai/swarm,project,openai/swarm,,https://github.com/openai/swarm,21805,Python,MIT,reference
project:567-labs/instructor,project,567-labs/instructor,,https://github.com/567-labs/instructor,13552,Python,MIT,adopt-adjacent
project:dottxt-ai/outlines,project,dottxt-ai/outlines,,https://github.com/dottxt-ai/outlines,14532,Python,Apache-2.0,evaluate
project:n8n-io/n8n,project,n8n-io/n8n,,https://github.com/n8n-io/n8n,196830,TypeScript,NOASSERTION,adopt-adjacent
project:activepieces/activepieces,project,activepieces/activepieces,,https://github.com/activepieces/activepieces,23309,TypeScript,NOASSERTION,evaluate
project:triggerdotdev/trigger.dev,project,triggerdotdev/trigger.dev,,https://github.com/triggerdotdev/trigger.dev,15677,TypeScript,Apache-2.0,evaluate
project:conductor-oss/conductor,project,conductor-oss/conductor,,https://github.com/conductor-oss/conductor,32007,Java,Apache-2.0,evaluate
project:temporalio/temporal,project,temporalio/temporal,,https://github.com/temporalio/temporal,21695,Go,MIT,evaluate
project:windmill-labs/windmill,project,windmill-labs/windmill,,https://github.com/windmill-labs/windmill,17178,Rust,NOASSERTION,evaluate
project:PrefectHQ/prefect,project,PrefectHQ/prefect,,https://github.com/PrefectHQ/prefect,23417,Python,Apache-2.0,watch
project:dagster-io/dagster,project,dagster-io/dagster,,https://github.com/dagster-io/dagster,15856,Python,Apache-2.0,watch
project:huginn/huginn,project,huginn/huginn,,https://github.com/huginn/huginn,49631,Ruby,MIT,reference
project:automatisch/automatisch,project,automatisch/automatisch,,https://github.com/automatisch/automatisch,13887,JavaScript,NOASSERTION,watch
project:langgenius/dify,project,langgenius/dify,,https://github.com/langgenius/dify,149167,TypeScript,NOASSERTION,evaluate
project:FlowiseAI/Flowise,project,FlowiseAI/Flowise,,https://github.com/FlowiseAI/Flowise,54695,TypeScript,NOASSERTION,evaluate
project:coze-dev/coze-studio,project,coze-dev/coze-studio,,https://github.com/coze-dev/coze-studio,21185,TypeScript,Apache-2.0,watch
project:labring/FastGPT,project,labring/FastGPT,,https://github.com/labring/FastGPT,29014,TypeScript,NOASSERTION,watch
project:1Panel-dev/MaxKB,project,1Panel-dev/MaxKB,,https://github.com/1Panel-dev/MaxKB,22117,Python,GPL-3.0,watch
project:a2aproject/A2A,project,a2aproject/A2A,,https://github.com/a2aproject/A2A,24837,Shell,Apache-2.0,adopt-standard
project:agentskills/agentskills,project,agentskills/agentskills,,https://github.com/agentskills/agentskills,23140,Python,Apache-2.0,adopt-standard
project:agentsmd/agents.md,project,agentsmd/agents.md,,https://github.com/agentsmd/agents.md,23069,TypeScript,MIT,adopt-standard
project:ag-ui-protocol/ag-ui,project,ag-ui-protocol/ag-ui,,https://github.com/ag-ui-protocol/ag-ui,14789,TypeScript,MIT,evaluate
project:modelcontextprotocol/servers,project,modelcontextprotocol/servers,,https://github.com/modelcontextprotocol/servers,88587,TypeScript,NOASSERTION,adopt-standard
project:mcp-use/mcp-use,project,mcp-use/mcp-use,,https://github.com/mcp-use/mcp-use,10326,TypeScript,MIT,evaluate
project:ComposioHQ/composio,project,ComposioHQ/composio,,https://github.com/ComposioHQ/composio,29269,TypeScript,MIT,evaluate
project:ChromeDevTools/chrome-devtools-mcp,project,ChromeDevTools/chrome-devtools-mcp,,https://github.com/ChromeDevTools/chrome-devtools-mcp,47095,TypeScript,Apache-2.0,adopt-adjacent
project:oraios/serena,project,oraios/serena,,https://github.com/oraios/serena,26550,Python,MIT,evaluate
project:googleapis/mcp-toolbox,project,googleapis/mcp-toolbox,,https://github.com/googleapis/mcp-toolbox,15970,Go,Apache-2.0,evaluate
project:vercel-labs/skills,project,vercel-labs/skills,,https://github.com/vercel-labs/skills,26420,TypeScript,NOASSERTION,evaluate
project:PrefectHQ/fastmcp,project,PrefectHQ/fastmcp,,https://github.com/PrefectHQ/fastmcp,26242,Python,Apache-2.0,adopt-standard
project:modelcontextprotocol/python-sdk,project,modelcontextprotocol/python-sdk,,https://github.com/modelcontextprotocol/python-sdk,23644,Python,MIT,adopt-standard
project:modelcontextprotocol/typescript-sdk,project,modelcontextprotocol/typescript-sdk,,https://github.com/modelcontextprotocol/typescript-sdk,12877,TypeScript,NOASSERTION,adopt-standard
project:github/github-mcp-server,project,github/github-mcp-server,,https://github.com/github/github-mcp-server,31517,Go,MIT,adopt-adjacent
project:mem0ai/mem0,project,mem0ai/mem0,,https://github.com/mem0ai/mem0,61071,TypeScript,Apache-2.0,evaluate
project:letta-ai/letta,project,letta-ai/letta,,https://github.com/letta-ai/letta,23831,Python,Apache-2.0,evaluate
project:getzep/graphiti,project,getzep/graphiti,,https://github.com/getzep/graphiti,28845,Python,Apache-2.0,pilot
project:topoteretes/cognee,project,topoteretes/cognee,,https://github.com/topoteretes/cognee,27983,Python,Apache-2.0,evaluate
project:vectorize-io/hindsight,project,vectorize-io/hindsight,,https://github.com/vectorize-io/hindsight,18517,Python,MIT,evaluate
project:MemTensor/MemOS,project,MemTensor/MemOS,,https://github.com/MemTensor/MemOS,10252,TypeScript,Apache-2.0,watch
project:memvid/memvid,project,memvid/memvid,,https://github.com/memvid/memvid,15975,Rust,Apache-2.0,evaluate
project:volcengine/OpenViking,project,volcengine/OpenViking,,https://github.com/volcengine/OpenViking,26887,Python,AGPL-3.0,watch
project:HKUDS/LightRAG,project,HKUDS/LightRAG,,https://github.com/HKUDS/LightRAG,37768,Python,MIT,evaluate
project:microsoft/graphrag,project,microsoft/graphrag,,https://github.com/microsoft/graphrag,34485,Python,MIT,evaluate
project:qdrant/qdrant,project,qdrant/qdrant,,https://github.com/qdrant/qdrant,33354,Rust,Apache-2.0,adopt-adjacent
project:milvus-io/milvus,project,milvus-io/milvus,,https://github.com/milvus-io/milvus,45258,Go,Apache-2.0,benchmark
project:weaviate/weaviate,project,weaviate/weaviate,,https://github.com/weaviate/weaviate,16606,Go,BSD-3-Clause,benchmark
project:infiniflow/ragflow,project,infiniflow/ragflow,,https://github.com/infiniflow/ragflow,85296,Go,Apache-2.0,evaluate
project:VectifyAI/PageIndex,project,VectifyAI/PageIndex,,https://github.com/VectifyAI/PageIndex,34080,Python,MIT,evaluate
project:Mintplex-Labs/anything-llm,project,Mintplex-Labs/anything-llm,,https://github.com/Mintplex-Labs/anything-llm,63449,JavaScript,MIT,watch
project:khoj-ai/khoj,project,khoj-ai/khoj,,https://github.com/khoj-ai/khoj,35835,Python,AGPL-3.0,evaluate
project:onyx-dot-app/onyx,project,onyx-dot-app/onyx,,https://github.com/onyx-dot-app/onyx,30948,Python,NOASSERTION,evaluate
project:promptfoo/promptfoo,project,promptfoo/promptfoo,,https://github.com/promptfoo/promptfoo,23365,TypeScript,MIT,adopt-core
project:comet-ml/opik,project,comet-ml/opik,,https://github.com/comet-ml/opik,20655,Python,Apache-2.0,evaluate
project:langfuse/langfuse,project,langfuse/langfuse,,https://github.com/langfuse/langfuse,31343,TypeScript,NOASSERTION,evaluate
project:confident-ai/deepeval,project,confident-ai/deepeval,,https://github.com/confident-ai/deepeval,16918,Python,Apache-2.0,evaluate
project:vibrantlabsai/ragas,project,vibrantlabsai/ragas,,https://github.com/vibrantlabsai/ragas,14885,Python,Apache-2.0,evaluate
project:SigNoz/signoz,project,SigNoz/signoz,,https://github.com/SigNoz/signoz,30329,TypeScript,NOASSERTION,evaluate
project:openobserve/openobserve,project,openobserve/openobserve,,https://github.com/openobserve/openobserve,20199,TypeScript,AGPL-3.0,evaluate
project:raga-ai-hub/RagaAI-Catalyst,project,raga-ai-hub/RagaAI-Catalyst,,https://github.com/raga-ai-hub/RagaAI-Catalyst,16145,Python,Apache-2.0,watch
project:Arize-ai/phoenix,project,Arize-ai/phoenix,,https://github.com/Arize-ai/phoenix,10600,Python,NOASSERTION,evaluate
project:microsoft/agent-lightning,project,microsoft/agent-lightning,,https://github.com/microsoft/agent-lightning,17395,Python,MIT,evaluate
project:verl-project/verl,project,verl-project/verl,,https://github.com/verl-project/verl,22517,Python,Apache-2.0,benchmark
project:huggingface/trl,project,huggingface/trl,,https://github.com/huggingface/trl,18862,Python,Apache-2.0,benchmark
project:NVIDIA/SkillSpector,project,NVIDIA/SkillSpector,,https://github.com/NVIDIA/SkillSpector,13348,Python,Apache-2.0,adopt-adjacent
project:NVIDIA/NemoClaw,project,NVIDIA/NemoClaw,,https://github.com/NVIDIA/NemoClaw,21816,TypeScript,Apache-2.0,evaluate
project:opensandbox-group/OpenSandbox,project,opensandbox-group/OpenSandbox,,https://github.com/opensandbox-group/OpenSandbox,12047,Python,Apache-2.0,evaluate
project:TencentCloud/CubeSandbox,project,TencentCloud/CubeSandbox,,https://github.com/TencentCloud/CubeSandbox,10383,Rust,NOASSERTION,evaluate
project:e2b-dev/E2B,project,e2b-dev/E2B,,https://github.com/e2b-dev/E2B,13018,Python,Apache-2.0,evaluate
project:daytonaio/daytona,project,daytonaio/daytona,,https://github.com/daytonaio/daytona,72267,,NOASSERTION,evaluate
project:Infisical/infisical,project,Infisical/infisical,,https://github.com/Infisical/infisical,28147,TypeScript,NOASSERTION,adopt-adjacent
project:getsops/sops,project,getsops/sops,,https://github.com/getsops/sops,22526,Go,MPL-2.0,adopt-adjacent
project:casdoor/casdoor,project,casdoor/casdoor,,https://github.com/casdoor/casdoor,13965,Go,Apache-2.0,evaluate
project:browser-use/browser-use,project,browser-use/browser-use,,https://github.com/browser-use/browser-use,105256,Python,MIT,evaluate
project:vercel-labs/agent-browser,project,vercel-labs/agent-browser,,https://github.com/vercel-labs/agent-browser,38655,Rust,Apache-2.0,adopt-adjacent
project:browserbase/stagehand,project,browserbase/stagehand,,https://github.com/browserbase/stagehand,23547,TypeScript,MIT,evaluate
project:apify/crawlee,project,apify/crawlee,,https://github.com/apify/crawlee,24775,TypeScript,Apache-2.0,evaluate
project:bytedance/UI-TARS-desktop,project,bytedance/UI-TARS-desktop,,https://github.com/bytedance/UI-TARS-desktop,38073,TypeScript,Apache-2.0,evaluate
project:simular-ai/Agent-S,project,simular-ai/Agent-S,,https://github.com/simular-ai/Agent-S,12029,Python,Apache-2.0,watch
project:browseros-ai/BrowserOS,project,browseros-ai/BrowserOS,,https://github.com/browseros-ai/BrowserOS,12288,TypeScript,AGPL-3.0,watch
project:h4ckf0r0day/obscura,project,h4ckf0r0day/obscura,,https://github.com/h4ckf0r0day/obscura,19367,Rust,Apache-2.0,watch
project:microsoft/playwright-mcp,project,microsoft/playwright-mcp,,https://github.com/microsoft/playwright-mcp,35206,TypeScript,Apache-2.0,adopt-adjacent
project:microsoft/OmniParser,project,microsoft/OmniParser,,https://github.com/microsoft/OmniParser,25165,Jupyter Notebook,CC-BY-4.0,evaluate
project:unclecode/crawl4ai,project,unclecode/crawl4ai,,https://github.com/unclecode/crawl4ai,73079,Python,Apache-2.0,evaluate
project:Skyvern-AI/skyvern,project,Skyvern-AI/skyvern,,https://github.com/Skyvern-AI/skyvern,22478,Python,AGPL-3.0,evaluate
project:ollama/ollama,project,ollama/ollama,,https://github.com/ollama/ollama,176329,Go,MIT,adopt-adjacent
project:ggml-org/llama.cpp,project,ggml-org/llama.cpp,,https://github.com/ggml-org/llama.cpp,120728,C++,MIT,benchmark
project:vllm-project/vllm,project,vllm-project/vllm,,https://github.com/vllm-project/vllm,86518,Python,Apache-2.0,evaluate
project:BerriAI/litellm,project,BerriAI/litellm,,https://github.com/BerriAI/litellm,53874,Python,NOASSERTION,evaluate
project:Portkey-AI/gateway,project,Portkey-AI/gateway,,https://github.com/Portkey-AI/gateway,12458,TypeScript,MIT,evaluate
project:BoundaryML/baml,project,BoundaryML/baml,,https://github.com/BoundaryML/baml,8564,Rust,Apache-2.0,strategic-exception
project:sgl-project/sglang,project,sgl-project/sglang,,https://github.com/sgl-project/sglang,30413,Python,Apache-2.0,evaluate
project:huggingface/transformers,project,huggingface/transformers,,https://github.com/huggingface/transformers,162689,Python,Apache-2.0,reference
project:huggingface/candle,project,huggingface/candle,,https://github.com/huggingface/candle,20682,Rust,Apache-2.0,evaluate
project:mlc-ai/web-llm,project,mlc-ai/web-llm,,https://github.com/mlc-ai/web-llm,18380,TypeScript,Apache-2.0,watch
project:microsoft/BitNet,project,microsoft/BitNet,,https://github.com/microsoft/BitNet,39746,C++,MIT,watch
project:mudler/LocalAI,project,mudler/LocalAI,,https://github.com/mudler/LocalAI,47598,Go,MIT,evaluate
project:exo-explore/exo,project,exo-explore/exo,,https://github.com/exo-explore/exo,46343,Python,Apache-2.0,watch
project:ml-explore/mlx,project,ml-explore/mlx,,https://github.com/ml-explore/mlx,27576,C++,MIT,watch
project:lm-sys/FastChat,project,lm-sys/FastChat,,https://github.com/lm-sys/FastChat,39489,Python,Apache-2.0,reference
project:0xPlaygrounds/rig,project,0xPlaygrounds/rig,,https://github.com/0xPlaygrounds/rig,7960,Rust,MIT,strategic-exception
project:EricLBuehler/mistral.rs,project,EricLBuehler/mistral.rs,,https://github.com/EricLBuehler/mistral.rs,7488,Rust,MIT,strategic-exception
project:restatedev/restate,project,restatedev/restate,,https://github.com/restatedev/restate,4175,Rust,NOASSERTION,strategic-exception
project:hatchet-dev/hatchet,project,hatchet-dev/hatchet,,https://github.com/hatchet-dev/hatchet,7518,Go,MIT,strategic-exception
project:microsoft/markitdown,project,microsoft/markitdown,,https://github.com/microsoft/markitdown,166850,Python,MIT,adopt-adjacent
project:docling-project/docling,project,docling-project/docling,,https://github.com/docling-project/docling,63367,Python,MIT,evaluate
project:firecrawl/firecrawl,project,firecrawl/firecrawl,,https://github.com/firecrawl/firecrawl,152357,TypeScript,AGPL-3.0,evaluate
project:PaddlePaddle/PaddleOCR,project,PaddlePaddle/PaddleOCR,,https://github.com/PaddlePaddle/PaddleOCR,85716,Python,Apache-2.0,evaluate
project:opendatalab/MinerU,project,opendatalab/MinerU,,https://github.com/opendatalab/MinerU,74937,Python,NOASSERTION,evaluate
project:opendataloader-project/opendataloader-pdf,project,opendataloader-project/opendataloader-pdf,,https://github.com/opendataloader-project/opendataloader-pdf,27418,Java,Apache-2.0,watch
project:Unstructured-IO/unstructured,project,Unstructured-IO/unstructured,,https://github.com/Unstructured-IO/unstructured,15151,HTML,Apache-2.0,evaluate
project:livekit/agents,project,livekit/agents,,https://github.com/livekit/agents,11406,Python,Apache-2.0,evaluate
project:TEN-framework/ten-framework,project,TEN-framework/ten-framework,,https://github.com/TEN-framework/ten-framework,10907,Python,NOASSERTION,evaluate
project:pipecat-ai/pipecat,project,pipecat-ai/pipecat,,https://github.com/pipecat-ai/pipecat,13517,Python,BSD-2-Clause,evaluate
project:Comfy-Org/ComfyUI,project,Comfy-Org/ComfyUI,,https://github.com/Comfy-Org/ComfyUI,121163,Python,GPL-3.0,adopt-adjacent
project:remotion-dev/remotion,project,remotion-dev/remotion,,https://github.com/remotion-dev/remotion,53513,TypeScript,NOASSERTION,adopt-adjacent
project:calesthio/OpenMontage,project,calesthio/OpenMontage,,https://github.com/calesthio/OpenMontage,39485,Python,AGPL-3.0,evaluate
project:heygen-com/hyperframes,project,heygen-com/hyperframes,,https://github.com/heygen-com/hyperframes,35927,TypeScript,Apache-2.0,evaluate
project:airbytehq/airbyte,project,airbytehq/airbyte,,https://github.com/airbytehq/airbyte,21645,Python,NOASSERTION,evaluate
project:screenpipe/screenpipe,project,screenpipe/screenpipe,,https://github.com/screenpipe/screenpipe,20233,Rust,NOASSERTION,evaluate
project:OpenBB-finance/OpenBB,project,OpenBB-finance/OpenBB,,https://github.com/OpenBB-finance/OpenBB,70702,Python,NOASSERTION,evaluate
project:gitroomhq/postiz-app,project,gitroomhq/postiz-app,,https://github.com/gitroomhq/postiz-app,33435,TypeScript,AGPL-3.0,evaluate
project:ToolJet/ToolJet,project,ToolJet/ToolJet,,https://github.com/ToolJet/ToolJet,38223,JavaScript,AGPL-3.0,watch
project:Budibase/budibase,project,Budibase/budibase,,https://github.com/Budibase/budibase,28127,TypeScript,NOASSERTION,watch
priority:adopt-adjacent,priority,adopt-adjacent,,,,,,
priority:adopt-core,priority,adopt-core,,,,,,
priority:adopt-standard,priority,adopt-standard,,,,,,
priority:benchmark,priority,benchmark,,,,,,
priority:evaluate,priority,evaluate,,,,,,
priority:pilot,priority,pilot,,,,,,
