source,target,type
project:agent0ai/agent-zero,category:agent-runtime,classified-as
project:agent0ai/agent-zero,priority:watch,recommended-as
project:HKUDS/OpenHarness,category:agent-runtime,classified-as
project:HKUDS/OpenHarness,priority:watch,recommended-as
project:Significant-Gravitas/AutoGPT,category:agent-runtime,classified-as
project:Significant-Gravitas/AutoGPT,priority:benchmark,recommended-as
project:open-webui/open-webui,category:interaction-ui,classified-as
project:open-webui/open-webui,priority:benchmark,recommended-as
project:danny-avila/LibreChat,category:interaction-ui,classified-as
project:danny-avila/LibreChat,priority:evaluate,recommended-as
project:openai/codex,category:coding-agent,classified-as
project:openai/codex,priority:adopt-core,recommended-as
project:anomalyco/opencode,category:coding-agent,classified-as
project:anomalyco/opencode,priority:adopt-core,recommended-as
project:google-gemini/gemini-cli,category:coding-agent,classified-as
project:google-gemini/gemini-cli,priority:adopt-core,recommended-as
project:cline/cline,category:coding-agent,classified-as
project:cline/cline,priority:evaluate,recommended-as
project:continuedev/continue,category:coding-agent,classified-as
project:continuedev/continue,priority:evaluate,recommended-as
project:aaif-goose/goose,category:rust-runtime,classified-as
project:aaif-goose/goose,priority:evaluate,recommended-as
project:openinterpreter/openinterpreter,category:rust-runtime,classified-as
project:openinterpreter/openinterpreter,priority:benchmark,recommended-as
project:Kilo-Org/kilocode,category:coding-agent,classified-as
project:Kilo-Org/kilocode,priority:watch,recommended-as
project:QwenLM/qwen-code,category:coding-agent,classified-as
project:QwenLM/qwen-code,priority:evaluate,recommended-as
project:charmbracelet/crush,category:coding-agent,classified-as
project:charmbracelet/crush,priority:watch,recommended-as
project:plandex-ai/plandex,category:coding-agent,classified-as
project:plandex-ai/plandex,priority:watch,recommended-as
project:bytedance/trae-agent,category:coding-agent,classified-as
project:bytedance/trae-agent,priority:watch,recommended-as
project:BloopAI/vibe-kanban,category:rust-runtime,classified-as
project:BloopAI/vibe-kanban,priority:pilot,recommended-as
project:superset-sh/superset,category:coding-control-plane,classified-as
project:superset-sh/superset,priority:evaluate,recommended-as
project:gastownhall/gastown,category:coding-control-plane,classified-as
project:gastownhall/gastown,priority:evaluate,recommended-as
project:openai/symphony,category:coding-control-plane,classified-as
project:openai/symphony,priority:evaluate,recommended-as
project:stablyai/orca,category:coding-control-plane,classified-as
project:stablyai/orca,priority:evaluate,recommended-as
project:getpaseo/paseo,category:coding-control-plane,classified-as
project:getpaseo/paseo,priority:watch,recommended-as
project:humanlayer/humanlayer,category:coding-control-plane,classified-as
project:humanlayer/humanlayer,priority:evaluate,recommended-as
project:code-yeongyu/oh-my-openagent,category:coding-control-plane,classified-as
project:code-yeongyu/oh-my-openagent,priority:evaluate,recommended-as
project:can1357/oh-my-pi,category:coding-agent,classified-as
project:can1357/oh-my-pi,priority:evaluate,recommended-as
project:earendil-works/pi,category:coding-agent,classified-as
project:earendil-works/pi,priority:evaluate,recommended-as
project:langchain-ai/open-swe,category:coding-agent,classified-as
project:langchain-ai/open-swe,priority:watch,recommended-as
project:farion1231/cc-switch,category:rust-runtime,classified-as
project:farion1231/cc-switch,priority:evaluate,recommended-as
project:Hmbown/CodeWhale,category:rust-runtime,classified-as
project:Hmbown/CodeWhale,priority:watch,recommended-as
project:OpenHands/OpenHands,category:coding-agent,classified-as
project:OpenHands/OpenHands,priority:evaluate,recommended-as
project:Aider-AI/aider,category:coding-agent,classified-as
project:Aider-AI/aider,priority:evaluate,recommended-as
project:TabbyML/tabby,category:rust-runtime,classified-as
project:TabbyML/tabby,priority:evaluate,recommended-as
project:SWE-agent/SWE-agent,category:coding-agent,classified-as
project:SWE-agent/SWE-agent,priority:benchmark,recommended-as
project:langchain-ai/langchain,category:agent-framework,classified-as
project:langchain-ai/langchain,priority:benchmark,recommended-as
project:langchain-ai/langgraph,category:agent-framework,classified-as
project:langchain-ai/langgraph,priority:evaluate,recommended-as
project:run-llama/llama_index,category:agent-framework,classified-as
project:run-llama/llama_index,priority:evaluate,recommended-as
project:microsoft/autogen,category:agent-framework,classified-as
project:microsoft/autogen,priority:benchmark,recommended-as
project:crewAIInc/crewAI,category:agent-framework,classified-as
project:crewAIInc/crewAI,priority:benchmark,recommended-as
project:FoundationAgents/MetaGPT,category:agent-framework,classified-as
project:FoundationAgents/MetaGPT,priority:benchmark,recommended-as
project:agno-agi/agno,category:agent-framework,classified-as
project:agno-agi/agno,priority:evaluate,recommended-as
project:openai/openai-agents-python,category:agent-framework,classified-as
project:openai/openai-agents-python,priority:evaluate,recommended-as
project:google/adk-python,category:agent-framework,classified-as
project:google/adk-python,priority:evaluate,recommended-as
project:pydantic/pydantic-ai,category:agent-framework,classified-as
project:pydantic/pydantic-ai,priority:evaluate,recommended-as
project:mastra-ai/mastra,category:agent-framework,classified-as
project:mastra-ai/mastra,priority:evaluate,recommended-as
project:deepset-ai/haystack,category:agent-framework,classified-as
project:deepset-ai/haystack,priority:evaluate,recommended-as
project:camel-ai/camel,category:agent-framework,classified-as
project:camel-ai/camel,priority:benchmark,recommended-as
project:agentscope-ai/agentscope,category:agent-framework,classified-as
project:agentscope-ai/agentscope,priority:evaluate,recommended-as
project:microsoft/agent-framework,category:agent-framework,classified-as
project:microsoft/agent-framework,priority:watch,recommended-as
project:langchain-ai/deepagents,category:agent-framework,classified-as
project:langchain-ai/deepagents,priority:evaluate,recommended-as
project:microsoft/semantic-kernel,category:agent-framework,classified-as
project:microsoft/semantic-kernel,priority:evaluate,recommended-as
project:The-Pocket/PocketFlow,category:agent-framework,classified-as
project:The-Pocket/PocketFlow,priority:watch,recommended-as
project:openai/swarm,category:agent-framework,classified-as
project:openai/swarm,priority:reference,recommended-as
project:567-labs/instructor,category:structured-output,classified-as
project:567-labs/instructor,priority:adopt-adjacent,recommended-as
project:dottxt-ai/outlines,category:structured-output,classified-as
project:dottxt-ai/outlines,priority:evaluate,recommended-as
project:n8n-io/n8n,category:workflow-automation,classified-as
project:n8n-io/n8n,priority:adopt-adjacent,recommended-as
project:activepieces/activepieces,category:workflow-automation,classified-as
project:activepieces/activepieces,priority:evaluate,recommended-as
project:triggerdotdev/trigger.dev,category:durable-execution,classified-as
project:triggerdotdev/trigger.dev,priority:evaluate,recommended-as
project:conductor-oss/conductor,category:durable-execution,classified-as
project:conductor-oss/conductor,priority:evaluate,recommended-as
project:temporalio/temporal,category:durable-execution,classified-as
project:temporalio/temporal,priority:evaluate,recommended-as
project:windmill-labs/windmill,category:durable-execution,classified-as
project:windmill-labs/windmill,priority:evaluate,recommended-as
project:PrefectHQ/prefect,category:durable-execution,classified-as
project:PrefectHQ/prefect,priority:watch,recommended-as
project:dagster-io/dagster,category:durable-execution,classified-as
project:dagster-io/dagster,priority:watch,recommended-as
project:huginn/huginn,category:workflow-automation,classified-as
project:huginn/huginn,priority:reference,recommended-as
project:automatisch/automatisch,category:workflow-automation,classified-as
project:automatisch/automatisch,priority:watch,recommended-as
project:langgenius/dify,category:agent-builder,classified-as
project:langgenius/dify,priority:evaluate,recommended-as
project:FlowiseAI/Flowise,category:agent-builder,classified-as
project:FlowiseAI/Flowise,priority:evaluate,recommended-as
project:coze-dev/coze-studio,category:agent-builder,classified-as
project:coze-dev/coze-studio,priority:watch,recommended-as
project:labring/FastGPT,category:agent-builder,classified-as
project:labring/FastGPT,priority:watch,recommended-as
project:1Panel-dev/MaxKB,category:agent-builder,classified-as
project:1Panel-dev/MaxKB,priority:watch,recommended-as
project:a2aproject/A2A,category:protocol,classified-as
project:a2aproject/A2A,priority:adopt-standard,recommended-as
project:agentskills/agentskills,category:protocol,classified-as
project:agentskills/agentskills,priority:adopt-standard,recommended-as
project:agentsmd/agents.md,category:protocol,classified-as
project:agentsmd/agents.md,priority:adopt-standard,recommended-as
project:ag-ui-protocol/ag-ui,category:protocol,classified-as
project:ag-ui-protocol/ag-ui,priority:evaluate,recommended-as
project:modelcontextprotocol/servers,category:protocol,classified-as
project:modelcontextprotocol/servers,priority:adopt-standard,recommended-as
project:mcp-use/mcp-use,category:protocol,classified-as
project:mcp-use/mcp-use,priority:evaluate,recommended-as
project:ComposioHQ/composio,category:tools-integration,classified-as
project:ComposioHQ/composio,priority:evaluate,recommended-as
project:ChromeDevTools/chrome-devtools-mcp,category:tools-integration,classified-as
project:ChromeDevTools/chrome-devtools-mcp,priority:adopt-adjacent,recommended-as
project:oraios/serena,category:tools-integration,classified-as
project:oraios/serena,priority:evaluate,recommended-as
project:googleapis/mcp-toolbox,category:tools-integration,classified-as
project:googleapis/mcp-toolbox,priority:evaluate,recommended-as
project:vercel-labs/skills,category:protocol,classified-as
project:vercel-labs/skills,priority:evaluate,recommended-as
project:PrefectHQ/fastmcp,category:protocol,classified-as
project:PrefectHQ/fastmcp,priority:adopt-standard,recommended-as
project:modelcontextprotocol/python-sdk,category:protocol,classified-as
project:modelcontextprotocol/python-sdk,priority:adopt-standard,recommended-as
project:modelcontextprotocol/typescript-sdk,category:protocol,classified-as
project:modelcontextprotocol/typescript-sdk,priority:adopt-standard,recommended-as
project:github/github-mcp-server,category:tools-integration,classified-as
project:github/github-mcp-server,priority:adopt-adjacent,recommended-as
project:mem0ai/mem0,category:memory,classified-as
project:mem0ai/mem0,priority:evaluate,recommended-as
project:letta-ai/letta,category:memory,classified-as
project:letta-ai/letta,priority:evaluate,recommended-as
project:getzep/graphiti,category:knowledge-graph,classified-as
project:getzep/graphiti,priority:pilot,recommended-as
project:topoteretes/cognee,category:knowledge-graph,classified-as
project:topoteretes/cognee,priority:evaluate,recommended-as
project:vectorize-io/hindsight,category:memory,classified-as
project:vectorize-io/hindsight,priority:evaluate,recommended-as
project:MemTensor/MemOS,category:memory,classified-as
project:MemTensor/MemOS,priority:watch,recommended-as
project:memvid/memvid,category:rust-runtime,classified-as
project:memvid/memvid,priority:evaluate,recommended-as
project:volcengine/OpenViking,category:memory,classified-as
project:volcengine/OpenViking,priority:watch,recommended-as
project:HKUDS/LightRAG,category:knowledge-graph,classified-as
project:HKUDS/LightRAG,priority:evaluate,recommended-as
project:microsoft/graphrag,category:knowledge-graph,classified-as
project:microsoft/graphrag,priority:evaluate,recommended-as
project:qdrant/qdrant,category:rust-runtime,classified-as
project:qdrant/qdrant,priority:adopt-adjacent,recommended-as
project:milvus-io/milvus,category:vector-database,classified-as
project:milvus-io/milvus,priority:benchmark,recommended-as
project:weaviate/weaviate,category:vector-database,classified-as
project:weaviate/weaviate,priority:benchmark,recommended-as
project:infiniflow/ragflow,category:rag-platform,classified-as
project:infiniflow/ragflow,priority:evaluate,recommended-as
project:VectifyAI/PageIndex,category:rag-platform,classified-as
project:VectifyAI/PageIndex,priority:evaluate,recommended-as
project:Mintplex-Labs/anything-llm,category:rag-platform,classified-as
project:Mintplex-Labs/anything-llm,priority:watch,recommended-as
project:khoj-ai/khoj,category:memory,classified-as
project:khoj-ai/khoj,priority:evaluate,recommended-as
project:onyx-dot-app/onyx,category:rag-platform,classified-as
project:onyx-dot-app/onyx,priority:evaluate,recommended-as
project:promptfoo/promptfoo,category:eval-security,classified-as
project:promptfoo/promptfoo,priority:adopt-core,recommended-as
project:comet-ml/opik,category:observability,classified-as
project:comet-ml/opik,priority:evaluate,recommended-as
project:langfuse/langfuse,category:observability,classified-as
project:langfuse/langfuse,priority:evaluate,recommended-as
project:confident-ai/deepeval,category:eval-security,classified-as
project:confident-ai/deepeval,priority:evaluate,recommended-as
project:vibrantlabsai/ragas,category:eval-security,classified-as
project:vibrantlabsai/ragas,priority:evaluate,recommended-as
project:SigNoz/signoz,category:observability,classified-as
project:SigNoz/signoz,priority:evaluate,recommended-as
project:openobserve/openobserve,category:observability,classified-as
project:openobserve/openobserve,priority:evaluate,recommended-as
project:raga-ai-hub/RagaAI-Catalyst,category:observability,classified-as
project:raga-ai-hub/RagaAI-Catalyst,priority:watch,recommended-as
project:Arize-ai/phoenix,category:observability,classified-as
project:Arize-ai/phoenix,priority:evaluate,recommended-as
project:microsoft/agent-lightning,category:agent-training,classified-as
project:microsoft/agent-lightning,priority:evaluate,recommended-as
project:verl-project/verl,category:agent-training,classified-as
project:verl-project/verl,priority:benchmark,recommended-as
project:huggingface/trl,category:agent-training,classified-as
project:huggingface/trl,priority:benchmark,recommended-as
project:NVIDIA/SkillSpector,category:eval-security,classified-as
project:NVIDIA/SkillSpector,priority:adopt-adjacent,recommended-as
project:NVIDIA/NemoClaw,category:sandbox-security,classified-as
project:NVIDIA/NemoClaw,priority:evaluate,recommended-as
project:opensandbox-group/OpenSandbox,category:sandbox-security,classified-as
project:opensandbox-group/OpenSandbox,priority:evaluate,recommended-as
project:TencentCloud/CubeSandbox,category:rust-runtime,classified-as
project:TencentCloud/CubeSandbox,priority:evaluate,recommended-as
project:e2b-dev/E2B,category:sandbox-security,classified-as
project:e2b-dev/E2B,priority:evaluate,recommended-as
project:daytonaio/daytona,category:sandbox-security,classified-as
project:daytonaio/daytona,priority:evaluate,recommended-as
project:Infisical/infisical,category:identity-secrets,classified-as
project:Infisical/infisical,priority:adopt-adjacent,recommended-as
project:getsops/sops,category:identity-secrets,classified-as
project:getsops/sops,priority:adopt-adjacent,recommended-as
project:casdoor/casdoor,category:identity-secrets,classified-as
project:casdoor/casdoor,priority:evaluate,recommended-as
project:browser-use/browser-use,category:browser-computer-use,classified-as
project:browser-use/browser-use,priority:evaluate,recommended-as
project:vercel-labs/agent-browser,category:rust-runtime,classified-as
project:vercel-labs/agent-browser,priority:adopt-adjacent,recommended-as
project:browserbase/stagehand,category:browser-computer-use,classified-as
project:browserbase/stagehand,priority:evaluate,recommended-as
project:apify/crawlee,category:browser-computer-use,classified-as
project:apify/crawlee,priority:evaluate,recommended-as
project:bytedance/UI-TARS-desktop,category:browser-computer-use,classified-as
project:bytedance/UI-TARS-desktop,priority:evaluate,recommended-as
project:simular-ai/Agent-S,category:browser-computer-use,classified-as
project:simular-ai/Agent-S,priority:watch,recommended-as
project:browseros-ai/BrowserOS,category:browser-computer-use,classified-as
project:browseros-ai/BrowserOS,priority:watch,recommended-as
project:h4ckf0r0day/obscura,category:rust-runtime,classified-as
project:h4ckf0r0day/obscura,priority:watch,recommended-as
project:microsoft/playwright-mcp,category:browser-computer-use,classified-as
project:microsoft/playwright-mcp,priority:adopt-adjacent,recommended-as
project:microsoft/OmniParser,category:browser-computer-use,classified-as
project:microsoft/OmniParser,priority:evaluate,recommended-as
project:unclecode/crawl4ai,category:document-ingestion,classified-as
project:unclecode/crawl4ai,priority:evaluate,recommended-as
project:Skyvern-AI/skyvern,category:browser-computer-use,classified-as
project:Skyvern-AI/skyvern,priority:evaluate,recommended-as
project:ollama/ollama,category:model-runtime,classified-as
project:ollama/ollama,priority:adopt-adjacent,recommended-as
project:ggml-org/llama.cpp,category:model-runtime,classified-as
project:ggml-org/llama.cpp,priority:benchmark,recommended-as
project:vllm-project/vllm,category:model-runtime,classified-as
project:vllm-project/vllm,priority:evaluate,recommended-as
project:BerriAI/litellm,category:model-gateway,classified-as
project:BerriAI/litellm,priority:evaluate,recommended-as
project:Portkey-AI/gateway,category:model-gateway,classified-as
project:Portkey-AI/gateway,priority:evaluate,recommended-as
project:BoundaryML/baml,category:rust-runtime,classified-as
project:BoundaryML/baml,priority:strategic-exception,recommended-as
project:sgl-project/sglang,category:model-runtime,classified-as
project:sgl-project/sglang,priority:evaluate,recommended-as
project:huggingface/transformers,category:model-runtime,classified-as
project:huggingface/transformers,priority:reference,recommended-as
project:huggingface/candle,category:rust-runtime,classified-as
project:huggingface/candle,priority:evaluate,recommended-as
project:mlc-ai/web-llm,category:model-runtime,classified-as
project:mlc-ai/web-llm,priority:watch,recommended-as
project:microsoft/BitNet,category:model-runtime,classified-as
project:microsoft/BitNet,priority:watch,recommended-as
project:mudler/LocalAI,category:model-runtime,classified-as
project:mudler/LocalAI,priority:evaluate,recommended-as
project:exo-explore/exo,category:model-runtime,classified-as
project:exo-explore/exo,priority:watch,recommended-as
project:ml-explore/mlx,category:model-runtime,classified-as
project:ml-explore/mlx,priority:watch,recommended-as
project:lm-sys/FastChat,category:model-runtime,classified-as
project:lm-sys/FastChat,priority:reference,recommended-as
project:0xPlaygrounds/rig,category:rust-runtime,classified-as
project:0xPlaygrounds/rig,priority:strategic-exception,recommended-as
project:EricLBuehler/mistral.rs,category:rust-runtime,classified-as
project:EricLBuehler/mistral.rs,priority:strategic-exception,recommended-as
project:restatedev/restate,category:rust-runtime,classified-as
project:restatedev/restate,priority:strategic-exception,recommended-as
project:hatchet-dev/hatchet,category:durable-execution,classified-as
project:hatchet-dev/hatchet,priority:strategic-exception,recommended-as
project:microsoft/markitdown,category:document-ingestion,classified-as
project:microsoft/markitdown,priority:adopt-adjacent,recommended-as
project:docling-project/docling,category:document-ingestion,classified-as
project:docling-project/docling,priority:evaluate,recommended-as
project:firecrawl/firecrawl,category:document-ingestion,classified-as
project:firecrawl/firecrawl,priority:evaluate,recommended-as
project:PaddlePaddle/PaddleOCR,category:document-ingestion,classified-as
project:PaddlePaddle/PaddleOCR,priority:evaluate,recommended-as
project:opendatalab/MinerU,category:document-ingestion,classified-as
project:opendatalab/MinerU,priority:evaluate,recommended-as
project:opendataloader-project/opendataloader-pdf,category:document-ingestion,classified-as
project:opendataloader-project/opendataloader-pdf,priority:watch,recommended-as
project:Unstructured-IO/unstructured,category:document-ingestion,classified-as
project:Unstructured-IO/unstructured,priority:evaluate,recommended-as
project:livekit/agents,category:voice-realtime,classified-as
project:livekit/agents,priority:evaluate,recommended-as
project:TEN-framework/ten-framework,category:voice-realtime,classified-as
project:TEN-framework/ten-framework,priority:evaluate,recommended-as
project:pipecat-ai/pipecat,category:voice-realtime,classified-as
project:pipecat-ai/pipecat,priority:evaluate,recommended-as
project:Comfy-Org/ComfyUI,category:creative-media,classified-as
project:Comfy-Org/ComfyUI,priority:adopt-adjacent,recommended-as
project:remotion-dev/remotion,category:creative-media,classified-as
project:remotion-dev/remotion,priority:adopt-adjacent,recommended-as
project:calesthio/OpenMontage,category:creative-media,classified-as
project:calesthio/OpenMontage,priority:evaluate,recommended-as
project:heygen-com/hyperframes,category:creative-media,classified-as
project:heygen-com/hyperframes,priority:evaluate,recommended-as
project:airbytehq/airbyte,category:data-integration,classified-as
project:airbytehq/airbyte,priority:evaluate,recommended-as
project:screenpipe/screenpipe,category:rust-runtime,classified-as
project:screenpipe/screenpipe,priority:evaluate,recommended-as
project:OpenBB-finance/OpenBB,category:domain-platform,classified-as
project:OpenBB-finance/OpenBB,priority:evaluate,recommended-as
project:gitroomhq/postiz-app,category:domain-platform,classified-as
project:gitroomhq/postiz-app,priority:evaluate,recommended-as
project:ToolJet/ToolJet,category:domain-platform,classified-as
project:ToolJet/ToolJet,priority:watch,recommended-as
project:Budibase/budibase,category:domain-platform,classified-as
project:Budibase/budibase,priority:watch,recommended-as
